region,district,township,loss,treecover2000,percentloss,year
Magway,Pakokku,Pauk,2095,569137,0.003681012,2002
Magway,Pakokku,Htilin,1260,930198,0.00135455,2002
Magway,Pakokku,Gangaw,3868,1661654,0.002327801,2002
Sagaing,Kalemyo,Kale,1720,2412434,7.12973e-4,2002
Sagaing,Kalemyo,Mingin,774,3471362,2.22967e-4,2002
Sagaing,Monywa,Kani,1437,2650588,5.42144e-4,2002
Sagaing,Monywa,Pale,3178,673174,0.004720919,2002
Magway,Pakokku,Myaing,18,4848,0.003712871,2002
Sagaing,Monywa,Yinmabin,462,24038,0.019219569,2002
Sagaing,Monywa,Budalin,0,4327,0,2002
Sagaing,Monywa,Monywa,1,709,0.001410437,2002
Sagaing,Monywa,Salingyi,0,1731,0,2002
Magway,Pakokku,Yesagyo,12,2253,0.005326232,2002
Magway,Pakokku,Pakokku,9,975,0.009230769,2002
Mandalay,Myingyan,Nyaungu,2,308,0.006493506,2002
Mandalay,Myingyan,Kyaukpadaung,11,76372,1.44032e-4,2002
Magway,Magwe Minbu,Chauk,7,338,0.020710059,2002
Magway,Minbu,Salin,328,464085,7.06767e-4,2002
Magway,Magwe Minbu,Yenangyaung,0,111,0,2002
Magway,Magwe Minbu,Magwe,0,150,0,2002
Magway,Minbu,Minbu (Sagu),112,93038,0.001203809,2002
Magway,Minbu,Pwinbyu,242,209815,0.001153397,2002
Magway,Minbu,Sidoktaya,3752,2863453,0.001310306,2002
Magway,Minbu,Ngape,430,880920,4.88126e-4,2002
Magway,Thayetmyo,Minhla,548,720876,7.60186e-4,2002
Magway,Thayetmyo,Mindon,615,2155693,2.85291e-4,2002
Magway,Thayetmyo,Sinbaungwe (Tantabin),349,191828,0.001819338,2002
Magway,Thayetmyo,Thayet,27,131013,2.06086e-4,2002
Magway,Thayetmyo,Kama,89,608776,1.46195e-4,2002
Rakhine,Thandwe,Taungup,6840,5478524,0.0012485109999999999,2002
Rakhine,Thandwe,Arakan (Sandoway),1010,4649772,2.17215e-4,2002
Bago,Pyay,Padaung,55,1760537,3.12405e-5,2002
